Alabama,Autauga County,54571
Alabama,Baldwin County,182265
Alabama,Barbour County,27457
Alabama,Bibb County,22919
Alabama,Blount County,57322
Alabama,Bullock County,10915
Alabama,Butler County,20946
Alabama,Calhoun County,118586
Alabama,Chambers County,34170
Alabama,Cherokee County,25986
Alabama,Chilton County,43631
Alabama,Choctaw County,13858
Alabama,Clarke County,25840
Alabama,Clay County,13932
Alabama,Cleburne County,14972
Alabama,Coffee County,49948
Alabama,Colbert County,54428
Alabama,Conecuh County,13228
Alabama,Coosa County,11758
Alabama,Covington County,37765
Alabama,Crenshaw County,13906
Alabama,Cullman County,80410
Alabama,Dale County,50251
Alabama,Dallas County,43820
Alabama,DeKalb County,71115
Alabama,Elmore County,79296
Alabama,Escambia County,38319
Alabama,Etowah County,104427
Alabama,Fayette County,17241
Alabama,Franklin County,31709
Alabama,Geneva County,26790
Alabama,Greene County,9045
Alabama,Hale County,15760
Alabama,Henry County,17302
Alabama,Houston County,101547
Alabama,Jackson County,53226
Alabama,Jefferson County,658350
Alabama,Lamar County,14564
Alabama,Lauderdale County,92709
Alabama,Lawrence County,34339
Alabama,Lee County,140296
Alabama,Limestone County,82782
Alabama,Lowndes County,11299
Alabama,Macon County,21448
Alabama,Madison County,334811
Alabama,Marengo County,21029
Alabama,Marion County,30777
Alabama,Marshall County,93019
Alabama,Mobile County,413143
Alabama,Monroe County,23070
Alabama,Montgomery County,229363
Alabama,Morgan County,119486
Alabama,Perry County,10581
Alabama,Pickens County,19746
Alabama,Pike County,32899
Alabama,Randolph County,22914
Alabama,Russell County,52951
Alabama,St. Clair County,83593
Alabama,Shelby County,195218
Alabama,Sumter County,13763
Alabama,Talladega County,82291
Alabama,Tallapoosa County,41618
Alabama,Tuscaloosa County,194653
Alabama,Walker County,67023
Alabama,Washington County,17583
Alabama,Wilcox County,11665
Alabama,Winston County,24483
Alaska,Aleutians East Borough,3141
Alaska,Aleutians West Census Area,5561
Alaska,Anchorage Municipality,291826
Alaska,Bethel Census Area,17013
Alaska,Bristol Bay Borough,997
Alaska,Denali Borough,1826
Alaska,Dillingham Census Area,4847
Alaska,Fairbanks North Star Borough,97581
Alaska,Haines Borough,2508
Alaska,Hoonah-Angoon Census Area,2147
Alaska,Juneau City and Borough,31275
Alaska,Kenai Peninsula Borough,55400
Alaska,Ketchikan Gateway Borough,13479
Alaska,Kodiak Island Borough,13606
Alaska,Kusilvak Census Area,7459
Alaska,Lake and Peninsula Borough,1635
Alaska,Matanuska-Susitna Borough,88995
Alaska,Nome Census Area,9492
Alaska,North Slope Borough,9430
Alaska,Northwest Arctic Borough,7523
Alaska,Petersburg Borough,3207
Alaska,Prince of Wales-Hyder Census Area,6172
Alaska,Sitka City and Borough,8881
Alaska,Skagway Municipality,968
Alaska,Southeast Fairbanks Census Area,7029
Alaska,Valdez-Cordova Census Area,9636
Alaska,Wrangell City and Borough,2365
Alaska,Yakutat City and Borough,662
Alaska,Yukon-Koyukuk Census Area,5588
Arizona,Apache County,71518
Arizona,Cochise County,131357
Arizona,Coconino County,134437
Arizona,Gila County,53597
Arizona,Graham County,37220
Arizona,Greenlee County,8437
Arizona,La Paz County,20489
Arizona,Maricopa County,3817357
Arizona,Mohave County,200186
Arizona,Navajo County,107491
Arizona,Pima County,980263
Arizona,Pinal County,375770
Arizona,Santa Cruz County,47420
Arizona,Yavapai County,211015
Arizona,Yuma County,195750
Arkansas,Arkansas County,19018
Arkansas,Ashley County,21853
Arkansas,Baxter County,41513
Arkansas,Benton County,221344
Arkansas,Boone County,36903
Arkansas,Bradley County,11508
Arkansas,Calhoun County,5368
Arkansas,Carroll County,27446
Arkansas,Chicot County,11800
Arkansas,Clark County,22995
Arkansas,Clay County,16083
Arkansas,Cleburne County,25969
Arkansas,Cleveland County,8689
Arkansas,Columbia County,24552
Arkansas,Conway County,21271
Arkansas,Craighead County,96443
Arkansas,Crawford County,61948
Arkansas,Crittenden County,50902
Arkansas,Cross County,17866
Arkansas,Dallas County,8116
Arkansas,Desha County,13008
Arkansas,Drew County,18509
Arkansas,Faulkner County,113237
Arkansas,Franklin County,18125
Arkansas,Fulton County,12245
Arkansas,Garland County,96000
Arkansas,Grant County,17853
Arkansas,Greene County,42090
Arkansas,Hempstead County,22609
Arkansas,Hot Spring County,32923
Arkansas,Howard County,13789
Arkansas,Independence County,36647
Arkansas,Izard County,13696
Arkansas,Jackson County,17998
Arkansas,Jefferson County,77435
Arkansas,Johnson County,25540
Arkansas,Lafayette County,7645
Arkansas,Lawrence County,17411
Arkansas,Lee County,10424
Arkansas,Lincoln County,14134
Arkansas,Little River County,13168
Arkansas,Logan County,22353
Arkansas,Lonoke County,68354
Arkansas,Madison County,15720
Arkansas,Marion County,16653
Arkansas,Miller County,43462
Arkansas,Mississippi County,46480
Arkansas,Monroe County,8150
Arkansas,Montgomery County,9487
Arkansas,Nevada County,8997
Arkansas,Newton County,8330
Arkansas,Ouachita County,26121
Arkansas,Perry County,10441
Arkansas,Phillips County,21757
Arkansas,Pike County,11291
Arkansas,Poinsett County,24583
Arkansas,Polk County,20662
Arkansas,Pope County,61754
Arkansas,Prairie County,8715
Arkansas,Pulaski County,382789
Arkansas,Randolph County,17970
Arkansas,St. Francis County,28258
Arkansas,Saline County,107149
Arkansas,Scott County,11233
Arkansas,Searcy County,8195
Arkansas,Sebastian County,125744
Arkansas,Sevier County,17058
Arkansas,Sharp County,17267
Arkansas,Stone County,12394
Arkansas,Union County,41639
Arkansas,Van Buren County,17294
Arkansas,Washington County,203060
Arkansas,White County,77076
Arkansas,Woodruff County,7264
Arkansas,Yell County,22185
California,Alameda County,1510261
California,Alpine County,1175
California,Amador County,38091
California,Butte County,220000
California,Calaveras County,45578
California,Colusa County,21419
California,Contra Costa County,1049197
California,Del Norte County,28610
California,El Dorado County,181057
California,Fresno County,930452
California,Glenn County,28122
California,Humboldt County,134623
California,Imperial County,174528
California,Inyo County,18546
California,Kern County,839631
California,Kings County,152982
California,Lake County,64665
California,Lassen County,34895
California,Los Angeles County,9818700
California,Madera County,150865
California,Marin County,252409
California,Mariposa County,18250
California,Mendocino County,87840
California,Merced County,255798
California,Modoc County,9686
California,Mono County,14202
California,Monterey County,415057
California,Napa County,136530
California,Nevada County,98748
California,Orange County,3010266
California,Placer County,348494
California,Plumas County,20007
California,Riverside County,2189760
California,Sacramento County,1418742
California,San Benito County,55269
California,San Bernardino County,2035212
California,San Diego County,3095308
California,San Francisco County,805195
California,San Joaquin County,685308
California,San Luis Obispo County,269593
California,San Mateo County,718498
California,Santa Barbara County,423939
California,Santa Clara County,1781672
California,Santa Cruz County,262362
California,Shasta County,177223
California,Sierra County,3240
California,Siskiyou County,44900
California,Solano County,413344
California,Sonoma County,483880
California,Stanislaus County,514451
California,Sutter County,94737
California,Tehama County,63461
California,Trinity County,13786
California,Tulare County,442182
California,Tuolumne County,55365
California,Ventura County,823387
California,Yolo County,200850
California,Yuba County,72155
Colorado,Adams County,441687
Colorado,Alamosa County,15445
Colorado,Arapahoe County,572155
Colorado,Archuleta County,12084
Colorado,Baca County,3788
Colorado,Bent County,6499
Colorado,Boulder County,294571
Colorado,Broomfield County,55866
Colorado,Chaffee County,17809
Colorado,Cheyenne County,1836
Colorado,Clear Creek County,9075
Colorado,Conejos County,8256
Colorado,Costilla County,3524
Colorado,Crowley County,5823
Colorado,Custer County,4255
Colorado,Delta County,30952
Colorado,Denver County,599860
Colorado,Dolores County,2064
Colorado,Douglas County,285465
Colorado,Eagle County,52197
Colorado,Elbert County,23086
Colorado,El Paso County,622261
Colorado,Fremont County,46824
Colorado,Garfield County,56389
Colorado,Gilpin County,5441
Colorado,Grand County,14843
Colorado,Gunnison County,15324
Colorado,Hinsdale County,843
Colorado,Huerfano County,6711
Colorado,Jackson County,1394
Colorado,Jefferson County,534764
Colorado,Kiowa County,1398
Colorado,Kit Carson County,8270
Colorado,Lake County,7310
Colorado,La Plata County,51334
Colorado,Larimer County,299630
Colorado,Las Animas County,15507
Colorado,Lincoln County,5469
Colorado,Logan County,22709
Colorado,Mesa County,146723
Colorado,Mineral County,712
Colorado,Moffat County,13795
Colorado,Montezuma County,25535
Colorado,Montrose County,41278
Colorado,Morgan County,28159
Colorado,Otero County,18831
Colorado,Ouray County,4434
Colorado,Park County,16201
Colorado,Phillips County,4442
Colorado,Pitkin County,17148
Colorado,Prowers County,12551
Colorado,Pueblo County,159063
Colorado,Rio Blanco County,6669
Colorado,Rio Grande County,11982
Colorado,Routt County,23506
Colorado,Saguache County,6108
Colorado,San Juan County,699
Colorado,San Miguel County,7359
Colorado,Sedgwick County,2379
Colorado,Summit County,27994
Colorado,Teller County,23350
Colorado,Washington County,4814
Colorado,Weld County,252831
Colorado,Yuma County,10043
Connecticut,Fairfield County,916850
Connecticut,Hartford County,894029
Connecticut,Litchfield County,189927
Connecticut,Middlesex County,165676
Connecticut,New Haven County,862474
Connecticut,New London County,274046
Connecticut,Tolland County,152682
Connecticut,Windham County,118434
Delaware,Kent County,162349
Delaware,New Castle County,538477
Delaware,Sussex County,197110
District of Columbia,District of Columbia,601767
Florida,Alachua County,247335
Florida,Baker County,27115
Florida,Bay County,168852
Florida,Bradford County,28520
Florida,Brevard County,543378
Florida,Broward County,1748148
Florida,Calhoun County,14625
Florida,Charlotte County,159991
Florida,Citrus County,141236
Florida,Clay County,190865
Florida,Collier County,321520
Florida,Columbia County,67532
Florida,DeSoto County,34862
Florida,Dixie County,16422
Florida,Duval County,864263
Florida,Escambia County,297619
Florida,Flagler County,95696
Florida,Franklin County,11549
Florida,Gadsden County,47746
Florida,Gilchrist County,16939
Florida,Glades County,12884
Florida,Gulf County,15863
Florida,Hamilton County,14799
Florida,Hardee County,27731
Florida,Hendry County,39140
Florida,Hernando County,172775
Florida,Highlands County,98786
Florida,Hillsborough County,1229224
Florida,Holmes County,19927
Florida,Indian River County,138028
Florida,Jackson County,49761
Florida,Jefferson County,14761
Florida,Lafayette County,8870
Florida,Lake County,297046
Florida,Lee County,618754
Florida,Leon County,275480
Florida,Levy County,40801
Florida,Liberty County,8365
Florida,Madison County,19226
Florida,Manatee County,322833
Florida,Marion County,331304
Florida,Martin County,146850
Florida,Miami-Dade County,2498017
Florida,Monroe County,73090
Florida,Nassau County,73314
Florida,Okaloosa County,180822
Florida,Okeechobee County,39996
Florida,Orange County,1145954
Florida,Osceola County,268687
Florida,Palm Beach County,1320134
Florida,Pasco County,464703
Florida,Pinellas County,916812
Florida,Polk County,602095
Florida,Putnam County,74364
Florida,St. Johns County,190039
Florida,St. Lucie County,277257
Florida,Santa Rosa County,151372
Florida,Sarasota County,379435
Florida,Seminole County,422718
Florida,Sumter County,93420
Florida,Suwannee County,41551
Florida,Taylor County,22568
Florida,Union County,15535
Florida,Volusia County,494597
Florida,Wakulla County,30783
Florida,Walton County,55043
Florida,Washington County,24896
Georgia,Appling County,18236
Georgia,Atkinson County,8382
Georgia,Bacon County,11096
Georgia,Baker County,3451
Georgia,Baldwin County,45835
Georgia,Banks County,18395
Georgia,Barrow County,69367
Georgia,Bartow County,100157
Georgia,Ben Hill County,17634
Georgia,Berrien County,19286
Georgia,Bibb County,155512
Georgia,Bleckley County,13063
Georgia,Brantley County,18410
Georgia,Brooks County,16324
Georgia,Bryan County,30238
Georgia,Bulloch County,70217
Georgia,Burke County,23316
Georgia,Butts County,23655
Georgia,Calhoun County,6694
Georgia,Camden County,50513
Georgia,Candler County,10998
Georgia,Carroll County,110591
Georgia,Catoosa County,63940
Georgia,Charlton County,12171
Georgia,Chatham County,265133
Georgia,Chattahoochee County,11267
Georgia,Chattooga County,26015
Georgia,Cherokee County,214346
Georgia,Clarke County,116707
Georgia,Clay County,3183
Georgia,Clayton County,259470
Georgia,Clinch County,6798
Georgia,Cobb County,688076
Georgia,Coffee County,42356
Georgia,Colquitt County,45498
Georgia,Columbia County,124059
Georgia,Cook County,17212
Georgia,Coweta County,127317
Georgia,Crawford County,12630
Georgia,Crisp County,23439
Georgia,Dade County,16633
Georgia,Dawson County,22339
Georgia,Decatur County,27842
Georgia,DeKalb County,691891
Georgia,Dodge County,21797
Georgia,Dooly County,14918
Georgia,Dougherty County,94565
Georgia,Douglas County,132339
Georgia,Early County,11004
Georgia,Echols County,4034
Georgia,Effingham County,52250
Georgia,Elbert County,20166
Georgia,Emanuel County,22594
Georgia,Evans County,11001
Georgia,Fannin County,23693
Georgia,Fayette County,106566
Georgia,Floyd County,96317
Georgia,Forsyth County,175511
Georgia,Franklin County,22084
Georgia,Fulton County,920579
Georgia,Gilmer County,28281
Georgia,Glascock County,3082
Georgia,Glynn County,79626
Georgia,Gordon County,55186
Georgia,Grady County,25012
Georgia,Greene County,15994
Georgia,Gwinnett County,805324
Georgia,Habersham County,43041
Georgia,Hall County,179684
Georgia,Hancock County,9402
Georgia,Haralson County,28780
Georgia,Harris County,32026
Georgia,Hart County,25213
Georgia,Heard County,11834
Georgia,Henry County,203879
Georgia,Houston County,139912
Georgia,Irwin County,9538
Georgia,Jackson County,60485
Georgia,Jasper County,13900
Georgia,Jeff Davis County,15068
Georgia,Jefferson County,16930
Georgia,Jenkins County,8340
Georgia,Johnson County,9984
Georgia,Jones County,28669
Georgia,Lamar County,18317
Georgia,Lanier County,10074
Georgia,Laurens County,48434
Georgia,Lee County,28298
Georgia,Liberty County,63472
Georgia,Lincoln County,7996
Georgia,Long County,14445
Georgia,Lowndes County,109233
Georgia,Lumpkin County,29966
Georgia,McDuffie County,21869
Georgia,McIntosh County,14332
Georgia,Macon County,14740
Georgia,Madison County,28120
Georgia,Marion County,8742
Georgia,Meriwether County,21992
Georgia,Miller County,6129
Georgia,Mitchell County,23498
Georgia,Monroe County,26459
Georgia,Montgomery County,9123
Georgia,Morgan County,17868
Georgia,Murray County,39628
Georgia,Muscogee County,190545
Georgia,Newton County,99958
Georgia,Oconee County,32815
Georgia,Oglethorpe County,14899
Georgia,Paulding County,142324
Georgia,Peach County,27694
Georgia,Pickens County,29422
Georgia,Pierce County,18758
Georgia,Pike County,17869
Georgia,Polk County,41475
Georgia,Pulaski County,11999
Georgia,Putnam County,21218
Georgia,Quitman County,2513
Georgia,Rabun County,16276
Georgia,Randolph County,7719
Georgia,Richmond County,200549
Georgia,Rockdale County,85215
Georgia,Schley County,5010
Georgia,Screven County,14593
Georgia,Seminole County,8729
Georgia,Spalding County,64073
Georgia,Stephens County,26172
Georgia,Stewart County,6058
Georgia,Sumter County,32817
Georgia,Talbot County,6863
Georgia,Taliaferro County,1717
Georgia,Tattnall County,25519
Georgia,Taylor County,8906
Georgia,Telfair County,16500
Georgia,Terrell County,9507
Georgia,Thomas County,44719
Georgia,Tift County,40122
Georgia,Toombs County,27223
Georgia,Towns County,10471
Georgia,Treutlen County,6885
Georgia,Troup County,67044
Georgia,Turner County,8930
Georgia,Twiggs County,9023
Georgia,Union County,21359
Georgia,Upson County,27153
Georgia,Walker County,68756
Georgia,Walton County,83768
Georgia,Ware County,36306
Georgia,Warren County,5834
Georgia,Washington County,21187
Georgia,Wayne County,30099
Georgia,Webster County,2801
Georgia,Wheeler County,7421
Georgia,White County,27144
Georgia,Whitfield County,102599
Georgia,Wilcox County,9255
Georgia,Wilkes County,10593
Georgia,Wilkinson County,9563
Georgia,Worth County,21679
Hawaii,Hawaii County,185079
Hawaii,Honolulu County,953207
Hawaii,Kalawao County,90
Hawaii,Kauai County,67090
Hawaii,Maui County,154835
Idaho,Ada County,392365
Idaho,Adams County,3976
Idaho,Bannock County,82839
Idaho,Bear Lake County,5986
Idaho,Benewah County,9285
Idaho,Bingham County,45607
Idaho,Blaine County,21378
Idaho,Boise County,7028
Idaho,Bonner County,40877
Idaho,Bonneville County,104304
Idaho,Boundary County,10972
Idaho,Butte County,2893
Idaho,Camas County,1117
Idaho,Canyon County,188923
Idaho,Caribou County,6963
Idaho,Cassia County,22958
Idaho,Clark County,982
Idaho,Clearwater County,8761
Idaho,Custer County,4366
Idaho,Elmore County,27038
Idaho,Franklin County,12786
Idaho,Fremont County,13242
Idaho,Gem County,16719
Idaho,Gooding County,15464
Idaho,Idaho County,16267
Idaho,Jefferson County,26140
Idaho,Jerome County,22374
Idaho,Kootenai County,138494
Idaho,Latah County,37244
Idaho,Lemhi County,7936
Idaho,Lewis County,3821
Idaho,Lincoln County,5206
Idaho,Madison County,37536
